provider	category	event_id	version	event(fields)	event_type	description
Active Directory Domain Services: SAM	{abb14b68-899b-11d2-819e-0000f875a064}	1	0	SamCompCreate_Start(String Sam, UInt32 Version, String Sid, String Client)	Start	SAM Computer Create
Active Directory Domain Services: SAM	{abb14b68-899b-11d2-819e-0000f875a064}	2	0	SamCompCreate_End()	End	SAM Computer Create
Active Directory Domain Services: SAM	{aceb7864-9a14-4c73-8ed0-94ec53f6651c}	1	0	SamGetDisplayEnumIdx_Start(String Sam, UInt32 Version, String Sid, String Client)	Start	SAM Get Display Enumeration Index
Active Directory Domain Services: SAM	{aceb7864-9a14-4c73-8ed0-94ec53f6651c}	2	0	SamGetDisplayEnumIdx_End()	End	SAM Get Display Enumeration Index
Active Directory Domain Services: SAM	{b41d7bdf-4249-4651-ac0f-1879be0d5c0c}	1	0	SamOpenGrp_Start(String Sam, UInt32 Version, String Sid, String Client)	Start	SAM Open Group
Active Directory Domain Services: SAM	{b41d7bdf-4249-4651-ac0f-1879be0d5c0c}	2	0	SamOpenGrp_End()	End	SAM Open Group
Active Directory Domain Services: SAM	{b8d2bc4a-1525-4386-bb1c-6bb2e24eb001}	1	0	SamOpenUser_Start(String Sam, UInt32 Version, String Sid, String Client)	Start	SAM Open User
Active Directory Domain Services: SAM	{b8d2bc4a-1525-4386-bb1c-6bb2e24eb001}	2	0	SamOpenUser_End()	End	SAM Open User
Active Directory Domain Services: SAM	{ba41c883-592f-4ab9-b2a9-c6263b011fe7}	1	0	SamOpenAlias_Start(String Sam, UInt32 Version, String Sid, String Client)	Start	SAM Open Alias
Active Directory Domain Services: SAM	{ba41c883-592f-4ab9-b2a9-c6263b011fe7}	2	0	SamOpenAlias_End()	End	SAM Open Alias
Active Directory Domain Services: SAM	{bc80e27f-6b74-4da9-abfc-2e4e82b81000}	1	0	SamSetInfoUser_Start(String Sam, UInt32 Version, String Sid, String Client)	Start	SAM Set Information User
Active Directory Domain Services: SAM	{bc80e27f-6b74-4da9-abfc-2e4e82b81000}	2	0	SamSetInfoUser_End()	End	SAM Set Information User
Active Directory Domain Services: SAM	{c2a0e094-a178-4372-b4fe-a33e48c3585c}	1	0	SamDeleteUser_Start(String Sam, UInt32 Version, String Sid, String Client)	Start	SAM Delete User
Active Directory Domain Services: SAM	{c2a0e094-a178-4372-b4fe-a33e48c3585c}	2	0	SamDeleteUser_End()	End	SAM Delete User
Active Directory Domain Services: SAM	{c8eb5e5c-899c-11d2-819e-0000f875a064}	1	0	SamGrpCreate_Start(String Sam, UInt32 Version, String Sid, String Client)	Start	SAM Group Create
Active Directory Domain Services: SAM	{c8eb5e5c-899c-11d2-819e-0000f875a064}	2	0	SamGrpCreate_End()	End	SAM Group Create
Active Directory Domain Services: SAM	{dbc0ceab-cff3-4c0f-85f2-0c2107142f36}	1	0	SamCloseHandle_Start(String Sam, UInt32 Version, String Sid, String Client)	Start	SAM Close Handle
